iter	Passed	Remaining
566	2285	1745
567	2286	1739
568	2288	1733
569	2290	1727
570	2291	1721
571	2293	1716
572	2295	1710
573	2296	1704
574	2298	1698
575	2300	1693
576	2302	1688
577	2304	1682
578	2306	1676
579	2307	1671
580	2310	1665
581	2311	1660
582	2313	1654
583	2315	1649
584	2317	1644
585	2320	1639
586	2322	1633
587	2324	1628
588	2327	1624
589	2330	1619
590	2333	1614
591	2335	1609
592	2338	1604
593	2340	1599
594	2342	1594
595	2344	1589
596	2346	1584
597	2348	1578
598	2350	1573
599	2352	1568
600	2353	1562
601	2355	1557
602	2357	1552
603	2359	1547
604	2361	1541
605	2363	1536
606	2366	1531
607	2368	1526
608	2372	1523
609	2374	1518
610	2376	1512
611	2378	1507
612	2380	1502
613	2382	1497
614	2385	1493
615	2387	1488
616	2391	1484
617	2394	1479
618	2396	1475
619	2398	1470
620	2400	1464
621	2402	1459
622	2404	1454
623	2405	1449
624	2407	1444
625	2409	1439
626	2411	1434
627	2413	1429
628	2414	1424
629	2416	1419
630	2418	1414
631	2420	1409
632	2422	1404
633	2424	1399
634	2426	1394
635	2428	1389
636	2430	1385
637	2432	1380
638	2434	1375
639	2436	1370
640	2439	1366
641	2441	1361
642	2445	1357
643	2447	1353
644	2450	1348
645	2453	1344
646	2455	1339
647	2456	1334
648	2458	1329
649	2460	1325
650	2462	1320
651	2464	1315
652	2466	1310
653	2469	1306
654	2472	1302
655	2473	1297
656	2476	1292
657	2478	1288
658	2480	1283
659	2482	1278
660	2484	1274
661	2486	1269
662	2487	1264
663	2489	1259
664	2491	1254
665	2493	1250
666	2495	1245
667	2497	1241
668	2499	1236
669	2501	1231
670	2503	1227
671	2505	1222
672	2507	1218
673	2509	1213
674	2514	1210
675	2517	1206
676	2519	1202
677	2522	1197
678	2524	1193
679	2526	1188
680	2528	1184
681	2531	1180
682	2533	1175
683	2535	1171
684	2537	1166
685	2538	1162
686	2540	1157
687	2542	1153
688	2545	1148
689	2547	1144
690	2549	1140
691	2551	1135
692	2553	1131
693	2555	1126
694	2557	1122
695	2559	1117
696	2561	1113
697	2563	1109
698	2565	1104
699	2569	1101
700	2573	1097
701	2575	1093
702	2583	1091
703	2586	1087
704	2588	1082
705	2589	1078
706	2591	1073
707	2592	1069
708	2595	1065
709	2598	1061
710	2600	1057
711	2603	1052
712	2605	1048
713	2608	1044
714	2610	1040
715	2612	1036
716	2614	1031
717	2616	1027
718	2618	1023
719	2619	1018
720	2622	1014
721	2624	1010
722	2626	1006
723	2632	1003
724	2640	1001
725	2642	997
726	2644	993
727	2646	988
728	2648	984
729	2650	980
730	2652	975
731	2653	971
732	2655	967
733	2657	963
734	2659	958
735	2661	954
736	2663	950
737	2665	946
738	2667	942
739	2669	937
740	2671	933
741	2673	929
742	2675	925
743	2677	921
744	2679	917
745	2681	913
746	2684	909
747	2688	905
748	2691	901
749	2693	897
750	2695	893
751	2698	889
752	2700	885
753	2701	881
754	2704	877
755	2706	873
756	2708	869
757	2710	865
758	2712	861
759	2714	857
760	2716	853
761	2718	849
762	2721	845
763	2723	841
764	2725	837
765	2728	833
766	2730	829
767	2731	825
768	2734	821
769	2736	817
770	2739	813
771	2741	809
772	2743	805
773	2747	802
774	2749	798
775	2750	794
776	2753	790
777	2755	786
778	2757	782
779	2759	778
780	2761	774
781	2763	770
782	2765	766
783	2767	762
784	2769	758
785	2771	754
786	2773	750
787	2775	746
788	2777	742
789	2779	738
790	2781	734
791	2782	730
792	2784	726
793	2786	722
794	2788	719
795	2790	715
796	2792	711
797	2795	707
798	2796	703
799	2799	699
800	2802	696
801	2803	692
802	2805	688
803	2808	684
804	2810	680
805	2812	676
806	2814	673
807	2816	669
808	2818	665
809	2820	661
810	2822	657
811	2823	653
812	2826	650
813	2827	646
814	2829	642
815	2831	638
816	2833	634
817	2835	630
818	2837	627
819	2840	623
820	2842	619
821	2844	615
822	2846	612
823	2848	608
824	2850	604
825	2854	601
826	2856	597
827	2859	594
828	2862	590
829	2864	586
830	2867	583
831	2869	579
832	2872	575
833	2874	572
834	2876	568
835	2877	564
836	2880	560
837	2882	557
838	2884	553
839	2886	549
840	2888	546
841	2890	542
842	2892	538
843	2894	535
844	2896	531
845	2898	527
846	2900	523
847	2902	520
848	2905	516
849	2907	513
850	2909	509
851	2911	505
852	2913	502
853	2915	498
854	2917	494
855	2919	491
856	2921	487
857	2922	483
858	2924	480
859	2926	476
860	2930	473
861	2933	469
862	2935	465
863	2937	462
864	2939	458
865	2941	455
866	2943	451
867	2945	447
868	2950	444
869	2953	441
870	2957	438
871	2960	434
872	2962	430
873	2964	427
874	2966	423
875	2968	420
876	2970	416
877	2972	412
878	2974	409
879	2975	405
880	2977	402
881	2979	398
882	2981	395
883	2984	391
884	2990	388
885	2994	385
886	2997	381
887	2999	378
888	3003	374
889	3005	371
890	3008	367
891	3010	364
892	3012	360
893	3014	357
894	3016	353
895	3017	350
896	3019	346
897	3021	343
898	3022	339
899	3024	336
900	3026	332
901	3027	328
902	3029	325
903	3031	321
904	3033	318
905	3035	314
906	3037	311
907	3039	307
908	3041	304
909	3046	301
910	3054	298
911	3058	295
912	3061	291
913	3062	288
914	3064	284
915	3066	281
916	3068	277
917	3070	274
918	3072	270
919	3075	267
920	3076	263
921	3078	260
922	3080	256
923	3081	253
924	3083	250
925	3085	246
926	3087	243
927	3088	239
928	3090	236
929	3092	232
930	3094	229
931	3095	225
932	3102	222
933	3107	219
934	3110	216
935	3112	212
936	3114	209
937	3116	206
938	3118	202
939	3119	199
940	3121	195
941	3123	192
942	3125	188
943	3127	185
944	3128	182
945	3130	178
946	3132	175
947	3133	171
948	3135	168
949	3137	165
950	3139	161
951	3141	158
952	3142	154
953	3144	151
954	3146	148
955	3148	144
956	3150	141
957	3151	138
958	3153	134
959	3158	131
960	3160	128
961	3163	124
962	3165	121
963	3167	118
964	3169	114
965	3172	111
966	3174	108
967	3177	105
968	3179	101
969	3181	98
970	3183	95
971	3185	91
972	3186	88
973	3188	85
974	3190	81
975	3191	78
976	3193	75
977	3195	71
978	3197	68
979	3198	65
980	3200	61
981	3202	58
982	3204	55
983	3206	52
984	3207	48
985	3209	45
986	3211	42
987	3218	39
988	3221	35
989	3224	32
990	3226	29
991	3228	26
992	3230	22
993	3232	19
994	3234	16
995	3236	12
996	3238	9
997	3241	6
998	3243	3
999	3245	0
